site,lat,lon,detections,days_detected,mean_frp
21.19_81.39,21.189416717123933,81.39106190160832,1057,716,2.278268684957427
21.19_81.4,21.19399775,81.39679325,40,38,1.7432500000000002
21.19_81.41,21.19341638095238,81.41412628571427,105,98,3.7618095238095237
21.19_81.42,21.193471195121948,81.4171637317073,410,323,3.835707317073171
21.1_72.63,21.102604418960244,72.63329749235474,654,482,4.421330275229358
21.1_72.64,21.102913510583377,72.63909119256583,1937,922,5.52623128549303
21.1_72.65,21.103414789644013,72.64760368932039,1545,993,5.494375404530744
21.1_72.66,21.0962125,72.65621250000001,4,4,3.1325000000000003
21.23_79.63,21.233116866267466,79.62973399201597,501,425,1.473812375249501
21.24_79.22,21.24409319018405,79.22328239263804,163,155,1.4531288343558284
21.24_79.23,21.242520975609757,79.22880951219513,82,77,1.4339024390243902
21.24_79.24,21.2396,79.23547,3,3,0.98
21.24_79.63,21.235483898305084,79.63059338983051,59,56,1.3255932203389829
21.24_81.38,21.239736999999998,81.384713,10,9,0.861
21.24_81.39,21.2393316,81.3864104,75,73,0.9404
21.24_81.77,21.244369523809524,81.77060666666667,21,19,0.9799999999999999
21.25_79.22,21.246757585551332,79.22301847908744,526,436,1.7059315589353614
21.25_79.23,21.24652212598425,79.22566748031497,127,124,1.5996062992125986
21.25_81.77,21.2459342,81.770337,50,50,0.9466
21.26_79.18,21.26479,79.18113,1,1,0.45
21.27_79.18,21.268025806451615,79.18121290322581,31,29,2.0474193548387096
21.2_81.39,21.1960665,81.39287325000001,40,38,2.61725
21.2_81.4,21.19708603773585,81.3974203773585,106,93,2.1250943396226414
21.2_81.41,21.19660318181818,81.41394761363637,88,80,3.657840909090909
21.2_81.42,21.19659743315508,81.41712764705882,374,306,4.363395721925134
21.31_81.58,21.307074999999998,81.584625,2,2,0.42000000000000004
21.31_81.59,21.310021312883435,81.5910089202454,815,701,1.0715460122699385
21.32_81.58,21.3242475,81.5786875,8,8,0.8375
21.33_81.58,21.325746000000002,81.578646,5,5,0.51
21.34_81.66,21.344327272727273,81.66412159090909,44,44,1.2727272727272727
21.34_81.67,21.342595566037737,81.6701284591195,318,263,0.9061949685534592
21.35_81.66,21.34739894514768,81.66397801687764,237,209,1.660084388185654
