cluster,lat,lon,n_cells,detections,max_days,mean_frp,extent_km,cluster_days
94,20.86464,79.24334625,2,5,4,1.0575,0.2,5
95,20.8581237704918,79.28654262295082,2,123,109,1.6008196721311474,0.9,110
96,20.87675716379167,84.98791598570202,9,3906,764,2.100094870716384,4.3,1135
97,20.868289913793106,70.56528681034483,2,33,29,0.830948275862069,0.4,33
98,20.868606923076925,71.39726358974359,1,39,39,0.9356410256410257,0.4,39
99,20.910187796762592,71.45935697841726,1,1112,889,1.4113938848920864,1.0,889
100,20.924342083333336,86.0425575,2,74,70,0.713125,0.6,72
101,20.955641458984914,85.01218120611142,10,833,265,1.7178872799395517,4.2,452
102,20.951757736316676,86.05179539098246,7,3357,996,1.828991891668346,3.8,1133
103,20.969189472943583,85.15329340609766,28,20863,1223,2.0323320526306845,8.5,1364
104,20.96875036679788,86.00882085084596,8,4950,908,2.673220134959722,3.1,1205
105,20.997067998333332,86.01732563916264,5,443,166,2.2826110547504026,2.4,233
106,21.07284254323821,85.03904642010775,8,6072,1172,2.1405148928065105,2.7,1206
107,21.101371681404586,72.6448892619305,9,11385,1288,4.581972356106221,4.3,1465
108,21.154419293181334,72.73591746207568,4,775,350,2.1463310710029475,1.8,408
109,21.187718761628005,81.38793729664621,8,1618,716,1.9055636449807212,4.3,840
110,21.18947899621212,81.2044428030303,2,94,87,0.8567234848484849,1.6,93
111,21.195022047761896,81.4155913195292,4,977,323,3.904688367974684,1.6,546
112,21.234300382286275,79.63016369092324,2,560,425,1.3997027977942418,1.0,456
113,21.243898775465876,79.22724957284711,5,901,436,1.4345138263056358,2.2,612
114,21.2395343,81.38556170000001,2,85,73,0.9007000000000001,0.5,82
115,21.245151861904763,81.77047183333333,2,71,50,0.9632999999999999,0.8,69
116,21.266407903225808,79.1811714516129,2,32,29,1.248709677419355,0.8,30
117,21.308548156441717,81.5878169601227,2,817,701,0.7457730061349692,1.2,701
118,21.32499675,81.57866675,2,13,8,0.6737500000000001,0.5,13
119,21.34536104971967,81.66611423611431,4,893,263,1.3566564192713584,1.9,555
120,21.374856628796973,81.6492875744183,12,3063,830,1.3767610482768955,4.4,1044
121,21.369230920891027,81.681406802741,7,2803,1002,1.6573383954172676,2.9,1091
122,21.29839777730869,81.60923330424993,3,480,348,1.02619320136348,1.7,383
123,21.43255,72.97690733333334,1,15,14,1.6099999999999999,0.6,14
124,21.486311519993055,81.76724774852609,3,1161,848,1.5221287678057838,1.3,874
125,21.531221641791046,86.83301880597014,1,67,63,0.8465671641791045,0.6,63
126,21.544338839766084,81.94742502807017,2,196,159,1.1797578947368423,0.7,173
127,21.55591693548387,81.74920790322581,2,32,29,0.6235483870967742,0.7,30
128,21.5760709144819,82.02389187265918,3,280,256,1.3591632334581771,0.7,268
129,21.497177241379312,81.78297965517243,1,29,28,0.903448275862069,0.5,28
130,21.63088864864865,82.11226189189189,1,37,37,0.8243243243243243,0.5,37
131,21.67427854617649,82.08340373981984,4,1074,789,3.1394382844450712,1.3,813
132,21.678735194830942,84.04018415585597,4,2900,1169,2.5379635924888566,2.0,1170
133,21.68479,85.436755,1,2,2,0.715,0.1,2
134,21.694595161962834,72.60493020291813,4,136,42,4.716178919860627,1.3,75
135,21.714745989159894,84.04112554200542,2,50,41,0.706490514905149,0.5,50
136,21.73094302641956,82.21475974483232,2,469,299,1.2479409139963473,0.9,424
137,21.747007664389,83.84361269246354,6,2385,785,1.9840978267380676,4.0,921
138,21.73348679479419,83.9826762517579,3,204,104,1.161501332942011,1.3,171
139,21.746360891608393,83.8194834090909,2,48,22,1.7653846153846153,1.5,35
140,21.76172120152108,84.02149331703998,8,6802,1136,2.2961775741487567,2.8,1213
141,21.773930113488298,83.82832572287542,7,743,288,1.6563368434933634,3.1,354
142,21.764873392857144,85.57956928571429,2,34,20,0.7319642857142856,0.5,33
143,21.79472662757437,72.64619765732266,4,64,37,2.067774599542334,0.9,51
144,21.799016673515656,83.88534496129131,6,358,118,1.4352727421641127,2.4,255
145,21.79495805057439,83.98911661179602,2,169,85,1.0593289436817037,0.7,163
146,21.697029404761906,84.03393511904761,2,43,40,1.9473809523809524,0.7,41
147,21.820612747252746,83.89494050366301,2,47,25,1.6333608058608058,1.0,42
148,21.81948177142857,83.99515473516485,2,191,85,1.046414835164835,1.0,155
149,21.847400000000004,84.92607333333333,1,3,3,0.5266666666666667,0.1,3
150,21.85873532210402,83.96574731678487,2,197,174,1.4809160756501183,0.7,182
151,21.875554731376685,83.49522914492098,4,847,407,1.149655276495749,1.0,734
152,21.880542868732352,83.55141555568862,4,1228,589,0.937114039490037,2.0,921
153,21.8876535,82.05300183333334,1,60,59,0.6685,0.5,59
154,21.801940000000002,85.56560333333334,2,7,6,0.6508333333333334,0.5,7
155,21.90994,72.68173,1,1,1,1.57,0.0,1
156,21.905403950793648,72.75554189126984,4,93,45,1.0617626984126984,1.1,76
157,21.922427671652255,83.34687925554084,10,6270,1289,2.3868248985089684,3.2,1298
158,21.928214553501704,85.22311535086986,3,1971,1043,1.4007003664295592,1.7,1045
159,21.94276,83.49826,1,1,1,0.38,0.0,1
160,21.96840445439841,85.31445422545727,2,537,384,0.7759813985317905,0.9,471
161,21.98407515282691,83.23489376645844,4,1456,655,1.5796133851076155,1.9,960
162,21.986445,83.365555,2,2,1,0.375,0.2,2
163,21.99108273133117,85.32561087560876,2,372,294,0.8083390827922077,0.8,353
164,22.005119583243744,82.67173984856579,3,2422,988,1.9768233760580944,1.4,1148
165,22.008154074074074,83.32885296296297,1,27,26,0.7314814814814815,0.6,26
166,22.02207109375,83.3795898263889,1,576,517,1.2201736111111112,0.8,517
167,22.01786,83.75328333333333,1,3,3,1.7066666666666668,0.3,3
168,22.03438227615705,83.35841766381506,5,2562,795,1.4526258851330398,2.9,927
169,22.0433562849036,83.73364140558594,12,6424,860,3.209439290074855,4.9,1216
170,22.054636445587835,85.4649769074997,4,778,274,0.9853277219825092,0.9,666
171,22.057041154369553,88.11855041245016,9,3689,832,2.425751705600559,4.0,1185
172,22.066713,83.70469266666666,2,30,15,0.776,0.6,29
173,22.084221300000003,84.8616518,2,51,46,0.4847,0.6,47
174,22.088485,88.1113505,1,40,35,1.29775,0.6,35
175,22.104969149149458,83.12288166129518,4,564,257,1.386154117228449,1.5,318
176,22.105599117327266,83.52492667962034,4,488,168,1.9009403026086993,1.3,275
177,22.114116250000002,83.5428375,1,8,7,0.7725,0.3,7
178,22.129092892857145,72.76507007142857,2,48,27,0.5756785714285715,0.7,44
179,22.134382954545455,85.38254939772727,2,465,407,0.8019318181818181,0.8,422
180,22.134234770833334,85.41571569583334,4,216,181,0.7392416666666667,1.3,188
181,22.16792178313253,85.43552229518073,2,93,81,0.5571686746987952,0.5,91
182,22.098822974308302,84.37554432411066,2,137,112,0.5710909090909091,0.6,134
183,22.212003499979858,84.85981532817037,10,4895,912,1.678726522449591,4.9,1140
184,22.221625,84.69662100000001,1,10,10,0.528,0.4,10
185,22.223929608075963,84.7552777838366,4,1225,462,1.1785734859957475,2.0,655
186,22.244869474040353,87.38881147022639,2,574,281,1.3778216043307085,1.0,449
187,22.265045587509892,75.13424616757383,4,842,360,1.3258013002549927,1.0,657
188,22.201970071428573,84.57775778571428,1,140,137,0.8332857142857143,0.7,137
189,22.322264397247345,82.5417020986289,20,2386,312,1.4858733592754556,7.0,932
190,22.31648531746032,82.73679763575605,3,78,55,1.3521512113617378,1.4,72
191,22.314628019886364,84.76765326988637,2,142,110,0.7564034090909091,0.6,141
192,22.32271666666667,69.88087333333333,1,3,3,9.596666666666666,0.6,3
193,22.33040465422174,82.60898092444637,9,1307,369,1.676271317560379,4.7,704
194,22.329362107303186,82.66606415258289,14,3147,499,1.8429137079942142,5.2,846
195,22.331562932121216,69.74019485454546,3,151,121,1.862047272727273,1.9,142
196,22.33683827435047,69.85973866798695,5,524,176,2.6554784590478286,2.1,370
197,22.343525,69.88039166666667,1,6,6,0.9883333333333333,0.4,6
198,22.355544143546947,82.30009631942073,6,947,239,3.22500774645547,2.5,267
199,22.365058675393005,73.11539575324005,4,328,99,2.2342545380583454,1.6,267
200,22.36489586914613,87.01604576154924,4,2632,915,1.9358947946829757,1.6,1120
201,22.36351966731484,87.30030253389876,5,2856,724,1.9369576491183373,2.8,956
202,22.380900310896937,87.28227364261807,6,2794,1185,1.498036128365391,2.7,1189
203,22.391420434782606,85.77096826086957,1,46,44,0.6369565217391304,0.7,44
204,22.41574781180867,69.03935675687595,2,769,464,1.4817689835575485,1.1,488
205,22.400985284552846,69.0192725203252,1,123,123,0.936260162601626,0.6,123
206,22.592933809033223,85.90510055152211,4,1655,631,0.9794989917914592,1.4,961
207,22.629150714285714,75.56878642857143,1,42,42,0.7528571428571429,0.6,42
208,22.631042716049382,86.17838259259258,1,81,78,0.6422222222222222,0.6,78
209,22.761210000000002,77.65708666666667,1,3,3,4.753333333333334,0.2,3
210,22.777675,86.12534,1,4,4,0.6124999999999999,0.2,4
211,22.791137407878725,86.20180423738114,8,7721,1117,2.813868985466782,3.3,1252
212,22.7913015,70.917672,1,20,18,1.802,0.9,18
213,22.811096731166725,86.08664067663805,5,2716,1120,1.2446794390342653,2.9,1143
214,22.855905455080777,86.05565453075042,4,706,543,0.8295851917333013,1.0,607
215,22.87462286783516,86.06399800020334,4,1036,592,1.314358724613847,1.2,743
216,22.872515,88.21334875,1,8,8,0.635,0.2,8
217,22.906626750788643,69.69830340694007,3,319,275,1.1621345951629862,1.3,276
218,22.90683,69.87265,1,1,1,0.75,0.0,1
219,22.911211438356165,86.07384027397259,2,74,70,0.6023287671232878,0.6,70
220,22.92556900455038,69.82430715695196,4,417,316,0.8589160346695558,0.8,393
221,22.935781655083574,69.69762390399438,3,822,468,1.0245226634828872,1.7,528
222,22.964054330357143,85.99782013392857,2,114,111,0.4555357142857143,0.6,112
223,22.97333856351527,72.55981331140352,4,202,96,1.4461062378167642,2.5,141
224,22.988246376811595,72.58793652173912,1,69,64,0.7328985507246377,0.8,64
225,23.01469883690106,70.1040888318088,4,625,400,0.9359330983387397,1.2,535
226,23.030683333333332,86.16086666666666,1,3,3,0.4066666666666667,0.2,3
227,23.116775067063493,70.08529257460317,4,261,81,1.5883599206349206,1.7,200
228,23.10521673571112,70.18607592010044,4,408,215,0.8736488332594889,0.9,376
229,23.168508712302476,82.34073256943253,8,4870,1236,2.643073809345726,2.7,1248
230,23.170646875,70.2179440625,1,32,32,0.6359375,0.5,32
231,23.260852392079055,70.25654917447862,6,1096,520,1.1388142668350716,2.6,716
232,23.265915303030305,70.28171863636364,2,80,72,0.6793073593073593,0.8,74
233,23.31456131443299,70.19978855670104,2,103,94,0.6167611683848797,0.6,100
234,23.311315037056506,70.48274946575616,5,627,287,1.0849032332279815,2.2,516
235,23.32659088744589,70.21428493506494,3,68,50,0.860995670995671,0.7,61
236,23.362774685990335,83.22207444444444,3,208,115,1.3195652173913042,1.5,160
237,23.41548,72.35542666666667,3,3,1,0.5766666666666667,0.5,3
238,23.407966110630944,72.41577935609334,2,102,76,0.7935738980121003,0.8,85
239,23.43009566899586,68.71382795807453,2,559,474,1.0536141304347826,0.9,481
240,23.430922631578948,86.9010252631579,1,19,18,0.9147368421052631,0.4,18
241,23.484536014397378,87.36096210227886,6,865,487,1.311211325658619,2.1,563
242,23.496062551020408,68.57870872448979,2,99,81,1.1335714285714285,0.8,82
243,23.514198112432208,87.27502524723502,4,639,347,0.9821588699134828,2.1,442
244,23.52918851851852,85.6989725925926,1,54,53,0.5192592592592592,0.6,53
245,23.548244675923385,86.54504962186488,2,540,267,1.0759919872674386,1.0,477
246,23.55609178110487,87.24101001467307,5,3826,1205,2.0402872317333007,3.1,1227
247,23.56410865796137,87.08618678343427,4,1069,404,1.175760984527326,1.7,718
248,23.614968054337815,86.78713304307402,4,1594,727,2.287715329730529,1.4,976
249,23.615730462962965,86.86132917496806,2,193,121,0.7680696040868454,1.0,170
250,23.6084522059645,87.14826502793017,3,975,520,1.1613953255638345,1.8,639
251,23.625589678679653,85.64500486290044,5,177,76,0.5219696320346321,3.0,162
252,23.632757465751467,86.2963137029172,3,734,336,1.2337679822679821,2.0,512
253,23.64129666666667,85.39764483333333,1,60,59,0.5608333333333333,0.7,59
254,23.64623913530466,85.4393469982079,2,283,183,1.2976164874551972,1.0,183
255,23.656073821791374,85.50596600663766,4,486,362,0.890937923401332,1.1,400
256,23.6494925,85.56834321428572,1,28,28,0.7385714285714285,0.6,28
257,23.666484746477852,84.9956093435326,4,1609,589,1.2174697539559824,2.1,788
258,23.66294075471698,85.55223009433962,1,106,104,0.5459433962264151,0.5,104
259,23.6595700377488,86.44499422958134,2,156,91,0.9898936170212765,0.7,142
260,23.667173747364345,86.92273359223834,6,1630,667,1.4666504689310191,3.2,794
