site,lat,lon,cluster,days_detected
17.69_83.24,17.693337181818183,83.24205272727272,59,98
17.69_83.25,17.692932857142857,83.24577928571429,59,14
17.6_83.18,17.599813924050633,83.18296822784811,58,52
17.6_83.19,17.598827719298246,83.18979421052632,58,52
17.6_83.2,17.603747765486727,83.20113033185841,58,386
17.6_83.21,17.60362,83.20502,58,1
17.7_83.24,17.69594,83.24148666666666,59,17
17.7_83.25,17.695484,83.246034,59,5
17.81_78.43,17.80782090909091,78.43217060606061,60,31
17.95_80.76,17.95232469387755,80.7614406122449,61,28
17.95_80.77,17.952356,80.765366,61,4
17.95_80.8,17.954330833333334,80.7983,62,22
17.96_80.76,17.955620000000003,80.762755,61,2
17.96_80.78,17.95791375,80.78191000000001,63,8
17.96_80.8,17.95716681818182,80.800022,62,272
18.54_83.34,18.540766666666666,83.34354666666667,64,2
18.67_79.55,18.670597368421053,79.55374789473683,65,18
18.67_79.56,18.66987375,79.55648775,65,33
18.68_73.03,18.682790198675498,73.03230412251655,66,770
18.68_73.04,18.68246189041096,73.03842185753425,66,863
18.68_73.05,18.67890418604651,73.04567534883721,66,41
18.69_73.03,18.686238246268655,73.0308606840796,66,635
18.69_73.04,18.690360102941174,73.0401790245098,66,990
18.69_73.05,18.688333684210527,73.0503894736842,66,19
18.69_73.84,18.691925,73.840465,67,2
18.72_79.51,18.721073333333333,79.50658166666666,68,6
18.72_79.53,18.72194567346939,79.5342453877551,69,202
18.72_79.54,18.72143563809524,79.53699333333333,69,646
18.73_79.53,18.72740826923077,79.53334653846153,69,49
18.73_79.54,18.725731780821917,79.53644575342466,69,70
18.74_79.53,18.7369248,79.5315246,69,35
18.7_73.04,18.6955825,73.04005416666668,66,11
18.81_74.26,18.805580222222222,74.259456,70,43
18.85_72.93,18.854287454545453,72.92895636363636,71,48
18.86_72.92,18.857321219512194,72.92402658536585,71,38
18.86_72.93,18.857995264026403,72.92757057755776,71,358
18.8_74.26,18.803386666666665,74.25930623931625,70,103
19.01_72.9,19.013348163265306,72.90337795918367,72,39
19.01_72.91,19.012939294117647,72.90747629411764,72,120
19.02_72.89,19.020698857142857,72.89177828571428,72,30
19.02_72.9,19.01590285714286,72.90314500000001,72,13
19.02_72.91,19.015485,72.90740125,72,23
19.09_82.16,19.089301666666668,82.16317333333333,73,4
19.09_82.17,19.09282338235294,82.16941713235295,73,100
19.11_73.05,19.10625736842105,73.05242736842105,74,19
19.11_82.16,19.105884666666668,82.16364866666666,73,15
